rank	feature	importance
1	history	0.251861
2	src_ip_bytes	0.167092
3	proto_tcp	0.127920
4	proto_udp	0.093547
5	http_resp_mime_types	0.051113
6	conn_state_SF	0.039780
7	src_bytes	0.033964
8	weird_name	0.029961
9	dst_bytes	0.027477
10	mqtt_payload_len	0.022745
11	src_pkts	0.021445
12	mqtt_retain_0	0.021089
13	conn_state_OTH	0.014105
14	dst_pkts	0.013342
15	mqtt_topic_len	0.012773
16	proto_icmp	0.012512
17	http_uri	0.009685
18	conn_state_SH	0.007461
19	ssl_version	0.007138
20	duration	0.006553
21	conn_state_S0	0.005491
22	missed_bytes	0.003982
23	http_status_code	0.003960
24	proto_unknown_transport	0.003952
25	weird_notice_F	0.002600
26	dst_ip_bytes	0.002321
27	conn_state_S3	0.002118
28	conn_state_REJ	0.000868
29	conn_state_RSTO	0.000805
30	conn_state_RSTR	0.000772
31	conn_state_RSTRH	0.000453
32	http_method_GET	0.000314
33	conn_state_SHR	0.000250
34	conn_state_S1	0.000237
35	ssl_resumed_n/a	0.000178
36	http_response_body_len	0.000136
37	mqtt_topic	0.000000
38	mqtt_qos	0.000000
39	ssl_cipher	0.000000
40	ssl_subject	0.000000
41	ssl_issuer	0.000000
42	http_user_agent	0.000000
43	http_orig_mime_types	0.000000
44	http_request_body_len	0.000000
45	conn_state_RSTOS0	0.000000
46	conn_state_S2	0.000000
47	mqtt_retain_F	0.000000
48	mqtt_retain_n/a	0.000000
49	mqtt_from_client_0	0.000000
50	mqtt_from_client_F	0.000000
51	mqtt_from_client_T	0.000000
52	mqtt_from_client_n/a	0.000000
53	mqtt_status_0	0.000000
54	mqtt_status_n/a	0.000000
55	mqtt_status_ok	0.000000
56	ssl_resumed_F	0.000000
57	ssl_resumed_T	0.000000
58	ssl_established_F	0.000000
59	ssl_established_T	0.000000
60	ssl_established_n/a	0.000000
61	http_method_HEAD	0.000000
62	http_method_POST	0.000000
63	http_method_n/a	0.000000
64	weird_addl_46	0.000000
65	weird_addl_n/a	0.000000
66	weird_notice_n/a	0.000000
67	http_trans_depth_1	0.000000
68	http_trans_depth_2	0.000000
69	http_trans_depth_5	0.000000
70	http_trans_depth_6	0.000000
71	http_trans_depth_8	0.000000
72	http_trans_depth_9	0.000000
73	http_trans_depth_n/a	0.000000
74	http_version_1.1	0.000000
75	http_version_n/a	0.000000
