rank	feature	importance
1	history	0.331362
2	proto_tcp	0.252334
3	src_ip_bytes	0.092969
4	conn_state_SF	0.043136
5	src_pkts	0.030156
6	http_method_GET	0.027312
7	mqtt_retain_0	0.026546
8	conn_state_REJ	0.020396
9	dst_bytes	0.019674
10	http_resp_mime_types	0.018029
11	proto_udp	0.016504
12	mqtt_topic_len	0.015946
13	ssl_version	0.013970
14	dst_pkts	0.013523
15	http_uri	0.010455
16	mqtt_payload_len	0.009358
17	weird_name	0.006090
18	duration	0.006039
19	http_status_code	0.005686
20	src_bytes	0.004991
21	ssl_resumed_n/a	0.004431
22	proto_unknown_transport	0.004224
23	conn_state_OTH	0.003798
24	dst_ip_bytes	0.003276
25	missed_bytes	0.003224
26	conn_state_S0	0.003219
27	conn_state_S3	0.002292
28	proto_icmp	0.001825
29	weird_notice_F	0.001528
30	conn_state_RSTO	0.001486
31	ssl_resumed_F	0.001051
32	conn_state_RSTRH	0.001047
33	conn_state_RSTR	0.000915
34	conn_state_RSTOS0	0.000788
35	conn_state_S1	0.000736
36	conn_state_SHR	0.000552
37	ssl_established_F	0.000409
38	conn_state_SH	0.000383
39	http_response_body_len	0.000300
40	ssl_subject	0.000042
41	mqtt_topic	0.000000
42	mqtt_qos	0.000000
43	ssl_cipher	0.000000
44	ssl_issuer	0.000000
45	http_user_agent	0.000000
46	http_orig_mime_types	0.000000
47	http_request_body_len	0.000000
48	conn_state_S2	0.000000
49	mqtt_retain_F	0.000000
50	mqtt_retain_n/a	0.000000
51	mqtt_from_client_0	0.000000
52	mqtt_from_client_F	0.000000
53	mqtt_from_client_T	0.000000
54	mqtt_from_client_n/a	0.000000
55	mqtt_status_0	0.000000
56	mqtt_status_n/a	0.000000
57	mqtt_status_ok	0.000000
58	ssl_resumed_T	0.000000
59	ssl_established_T	0.000000
60	ssl_established_n/a	0.000000
61	http_method_HEAD	0.000000
62	http_method_POST	0.000000
63	http_method_n/a	0.000000
64	weird_addl_46	0.000000
65	weird_addl_48	0.000000
66	weird_addl_n/a	0.000000
67	weird_notice_n/a	0.000000
68	http_trans_depth_1	0.000000
69	http_trans_depth_10	0.000000
70	http_trans_depth_2	0.000000
71	http_trans_depth_3	0.000000
72	http_trans_depth_4	0.000000
73	http_trans_depth_5	0.000000
74	http_trans_depth_6	0.000000
75	http_trans_depth_7	0.000000
76	http_trans_depth_8	0.000000
77	http_trans_depth_9	0.000000
78	http_trans_depth_n/a	0.000000
79	http_version_1.1	0.000000
80	http_version_n/a	0.000000
