ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type,mqtt_topic_len,mqtt_payload_len,mqtt_operation
1772422480.864934,192.168.65.3,41058,54.36.178.49,1883,tcp,0,3.4e-05,0,0,SHR,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422481.598532,192.168.65.3,48826,54.36.178.49,1883,tcp,mqtt,0.825526,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422483.158375,192.168.65.3,48842,54.36.178.49,1883,tcp,mqtt,0.819589,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.361184,192.168.65.1,60130,192.168.65.7,2376,tcp,http,0.002018,94,297,SF,0,6,414,4,513,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,HEAD,/_ping,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.366263,192.168.65.1,25289,192.168.65.7,2376,tcp,http,0.019916,115,2949,SF,0,7,487,7,3321,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/json?all=1,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422487.783722,192.168.65.3,48874,54.36.178.49,1883,tcp,mqtt,0.796961,45,4,SF,0,7,417,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.706347,192.168.65.3,48850,54.36.178.49,1883,tcp,mqtt,0.774226,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422486.227339,192.168.65.3,48866,54.36.178.49,1883,tcp,mqtt,0.815289,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.363857,192.168.65.1,24407,192.168.65.7,2376,tcp,http,1.039306,243,215,SF,0,6,563,5,483,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,"/v1.53/events?filters={""type"":{""container"":true}}",-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.386971,192.168.65.1,35044,192.168.65.7,2376,tcp,http,1.008732,188,2083,SF,0,7,560,7,2455,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/1e63257b4c1551619638276b67f22fc9c43d32c4def8b8abcc69171341349410/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
